name,age,height,weight,sex
Mathew Elliott,56.0,1.96,85.1,F
Raymond Lloyd,35.0,1.55,92.3,F
Tracy Kim,21.0,1.77,71.2,M
Richard Marshall,42.0,1.87,64.0,F
Austin Rodriguez,31.0,1.88,88.0,F
Mandy Ross,67.0,1.8,80.8,F
Ricky Barrett,26.0,1.58,77.3,F
Traci Scott,43.0,1.9,97.1,F
Jennifer Jennings,19.0,1.86,98.3,M
Tonya Parks,37.0,1.54,53.2,F
Adam Massey,45.0,1.73,73.7,F
Vanessa Sparks,64.0,1.59,78.8,F
Allison Winters,24.0,1.67,56.8,M
Todd Mcfarland,61.0,1.51,66.5,F
Christopher Durham,25.0,1.7,53.6,F
Jonathan Bradley,64.0,1.77,119.7,M
Valerie Harris,52.0,1.81,101.6,F
Lisa Morris,31.0,1.83,56.1,M
Eric Frey,34.0,1.92,51.4,F
Mary Chan,53.0,1.61,100.4,M
Christine Burke,67.0,1.56,80.7,M
Nicole Reed,57.0,1.93,105.1,M
Daniel Gardner,21.0,1.58,114.6,M
Caroline Garcia,19.0,1.99,92.0,F
Amanda Harris,23.0,1.92,63.1,M
Amber Dixon,59.0,1.75,104.8,M
Marie Mosley,21.0,1.99,116.9,F
Anna Hill,46.0,1.55,90.6,F
Sandra White,35.0,1.65,97.7,M
James Avila,43.0,1.82,73.6,M
Richard Gutierrez,61.0,1.68,76.7,F
Jerry Peterson,51.0,1.96,101.4,M
Jeffery Booth,27.0,1.53,114.9,F
Robert Middleton,53.0,1.77,94.0,F
Aaron Horton,31.0,1.8,105.3,M
Manuel Guerrero,48.0,1.83,62.0,F
Nathan Pennington,65.0,1.63,64.8,F
Clifford Harper,32.0,1.68,87.2,M
Carlos Burnett,25.0,1.92,62.4,F
Susan Burton MD,31.0,1.6,94.4,F
David Steele,40.0,1.91,70.4,M
Lawrence Garcia,57.0,1.78,105.4,F
Grace Jones,38.0,1.88,106.6,F
Nicole Perkins,33.0,1.86,82.5,M
Douglas Ross,62.0,1.6,62.7,F
Melissa Johnston,35.0,1.78,95.3,F
John Cruz,64.0,1.93,119.5,F
James Jackson,41.0,1.72,93.6,F
Joseph Payne,43.0,1.98,52.5,M
Natalie Ortega,42.0,1.73,51.2,F
Melinda Ward,62.0,1.57,72.4,M
Alexander Campos,58.0,1.69,63.7,F
Alexandra Daniels,46.0,1.98,106.9,M
Michael Summers,32.0,1.66,109.1,F
Anna Frederick,62.0,1.93,68.1,M
Paul Salazar,18.0,1.94,72.8,M
Timothy Johnson,42.0,1.68,66.5,F
Mark Valdez,24.0,1.54,113.6,F
Kristi Morrison,26.0,1.86,85.2,M
Cameron Johnson,41.0,1.66,95.9,M
William Jefferson,18.0,1.89,79.1,M
Robert Branch,61.0,1.72,94.2,M
Jose Jones,25.0,1.74,77.0,M
Shannon Graves,41.0,1.89,73.8,M
Adam Brown,28.0,1.69,94.4,F
Lori Duffy,68.0,1.72,91.4,F
Dr. Amber Walker DDS,34.0,1.69,70.5,M
Christopher Campbell,25.0,1.68,60.5,M
Joy Hutchinson,52.0,1.76,75.8,F
Victor Hughes,52.0,1.9,79.1,M
Christine Melton,50.0,1.68,94.0,M
Alex Brown,22.0,1.76,114.0,F
Jamie Morrow,59.0,1.84,52.5,F
Lee Aguirre,56.0,1.63,67.1,M
Scott Boyd,58.0,1.64,63.6,F
Arthur Jackson,45.0,1.97,85.2,M
Morgan Morrison,24.0,1.86,80.1,F
Benjamin Torres,26.0,1.79,101.0,M
Alexandra Lee,25.0,1.82,67.0,M
Rebecca Sanchez,29.0,1.51,91.6,M
Allison Jones,51.0,1.81,111.9,M
Joseph Clayton,50.0,1.75,113.7,F
Jessica Thompson,65.0,1.77,117.1,F
Marc Pittman,40.0,1.68,104.1,F
Edward Gates,41.0,1.54,113.4,M
Charles Cordova,54.0,1.6,66.4,F
Peggy Thompson,52.0,1.98,63.8,M
John Huff,61.0,1.7,50.5,M
David Frank DDS,57.0,1.73,99.5,F
Tony Barron,39.0,1.53,115.6,F
Michael Smith,44.0,1.52,63.1,M
Rebekah Robinson,52.0,1.86,94.6,M
Nathaniel Wu,18.0,1.77,102.3,F
Christian Webb,52.0,1.75,114.9,F
Anna Flores,54.0,1.62,95.3,F
George Baker,64.0,1.87,117.9,F
Jimmy Haney,31.0,1.58,74.1,F
Pamela Jones,20.0,1.59,74.5,M
Donna Lloyd,18.0,1.73,88.0,M
Lisa Brown,22.0,1.64,76.8,M
Manuel Hernandez,43.0,1.62,50.1,F
Carlos Michael,31.0,1.82,101.2,M
Jessica Strong,56.0,1.83,102.6,F
James Sawyer,44.0,1.91,102.3,F
Clayton Collins,26.0,1.71,74.2,F
Adriana Greene,32.0,1.54,86.6,M
Debra Dean,32.0,1.64,75.2,M
Jessica Gregory,43.0,1.99,51.1,M
Sabrina Dougherty,59.0,1.8,89.4,M
Joshua Maddox,30.0,1.85,58.7,F
Tyler Gutierrez,68.0,1.5,55.6,F
Rebecca Mason,49.0,1.76,102.9,M
Alexis Fox,56.0,1.52,50.7,M
Randy Ramsey,66.0,1.78,117.1,F
Joshua Pugh,69.0,1.96,86.1,M
Christina Glenn,49.0,1.98,118.8,M
Jody Kirby,21.0,1.77,54.1,F
Glenn Marquez,47.0,1.73,90.8,M
Christopher Scott,54.0,1.97,74.5,M
Patricia Peters,40.0,1.84,109.0,M
Margaret Fisher,56.0,1.53,75.3,F
Kelly Bridges,62.0,1.73,68.2,M
Brent Armstrong,32.0,1.62,110.0,M
Gregory Baldwin,60.0,1.73,76.2,F
Shawna Hull,46.0,1.73,51.2,F
Rebecca Smith,53.0,1.79,77.3,F
Robert Johns,30.0,1.68,95.8,F
Samantha Collins,49.0,1.58,67.8,F
Nicholas Cooke,24.0,1.75,80.2,F
Katherine Sampson,68.0,1.92,54.0,F
Christopher Andrews,39.0,1.83,91.2,M
Tasha Winters,45.0,1.67,102.9,F
Amanda Little,19.0,1.97,78.9,F
Lisa Diaz,59.0,1.96,79.4,F
Jeremy Bray,62.0,1.6,56.2,M
Holly Carpenter,23.0,1.52,64.1,M
Gregory Sanchez,45.0,1.87,60.8,F
Laura Miller,45.0,1.91,83.7,F
Levi Jacobs,61.0,1.98,87.0,F
Ronald Potter,61.0,1.94,116.4,M
Christina Lewis,37.0,1.8,55.1,F
Megan Silva,47.0,1.77,92.0,M
Emily Reyes,28.0,1.51,86.9,M
Brenda Collins,45.0,1.62,86.1,F
Brittany Martinez,42.0,1.73,111.1,M
Tyler James,56.0,1.81,64.4,F
Brandon Blake,50.0,1.78,52.9,M
Sarah Scott,18.0,1.87,97.1,M
Jonathan Hinton,44.0,1.64,74.2,M
Curtis Schroeder,69.0,1.78,51.2,F
Richard Harris,30.0,1.54,67.6,M
Katrina Shaffer,58.0,1.71,71.7,M
William Richmond,20.0,1.88,93.2,F
Jennifer Hill,56.0,1.85,62.1,M
Katherine Weiss,23.0,2.0,78.9,M
Maria Hoover,25.0,1.64,83.8,F
Alan Sawyer,44.0,1.75,82.1,F
Barry Wilson,26.0,1.66,118.2,F
Steven Park,54.0,1.72,53.2,M
Allen Williams,50.0,1.93,116.6,M
Jessica Mahoney,68.0,1.84,90.7,M
Gregory Washington,59.0,1.94,105.7,M
Allison Reyes,61.0,1.6,80.1,M
Phillip Baker,41.0,1.94,81.8,F
April Church,32.0,1.53,111.6,M
Courtney Morrow,49.0,1.94,112.7,F
Jeanette Robinson,49.0,1.66,66.7,M
Clifford Newton,41.0,1.66,63.9,M
Roy Estrada,58.0,1.76,84.7,F
Sarah Bailey,69.0,1.97,113.0,M
Edward Adams,66.0,1.52,72.6,M
Carol Mendoza,66.0,1.68,95.6,F
,69.0,1.93,99.6,F
Dustin Anderson,29.0,1.7,104.5,M
Valerie Mccullough,56.0,1.6,89.5,F
Julia Taylor,19.0,1.71,78.2,M
Barry Rodriguez,20.0,1.69,117.7,F
Travis Hall,66.0,1.96,92.8,M
Adam Clark DVM,54.0,1.88,101.0,F
Laura Sutton,66.0,1.75,74.1,F
Christine Dominguez,34.0,1.99,96.9,M
Regina Montoya,66.0,1.73,68.0,F
Sydney Mitchell,19.0,1.53,67.2,F
Rebecca Rodriguez,19.0,1.63,100.0,F
Edward Johnson,45.0,1.72,86.5,M
Felicia Singh,40.0,1.58,97.8,F
Kevin Kidd,54.0,1.97,68.9,F
Caitlin Palmer,49.0,1.88,91.9,F
Steven Lopez,50.0,1.63,81.1,M
Charles Montes,18.0,1.8,91.8,M
Jacob Medina,36.0,1.86,70.4,F
Scott Lucas,19.0,1.97,100.1,M
Jody Coleman,61.0,1.94,106.4,F
Allison Morrow,43.0,1.76,68.2,M
Devin Cardenas,49.0,1.89,71.0,F
Michael White,23.0,1.78,96.3,M
Joshua Thomas,49.0,1.78,98.7,F
Suzanne Luna,21.0,1.56,99.3,F
Lindsay Benson,28.0,1.56,97.8,M
Donald Smith,34.0,1.76,77.5,F
,55.0,1.63,77.6,F
James Hernandez,41.0,1.51,67.8,F
Robyn Griffith MD,22.0,1.86,61.0,M
Katherine Lynch,69.0,1.52,98.5,F
Chad Moss,51.0,1.8,56.5,F
James Sims,23.0,1.77,115.6,F
Erin Sanchez,39.0,1.98,107.9,M
Dr. Tonya Scott MD,28.0,1.74,110.0,F
Justin Delgado,65.0,1.53,113.5,M
Jennifer Griffin,33.0,1.78,78.6,F
Ashley Bishop,50.0,1.92,109.3,M
Alicia Williams,26.0,2.0,61.1,M
Susan Hamilton,23.0,1.72,51.5,M
Michael Mack,33.0,1.66,104.9,F
Julia Kelly,46.0,1.95,55.2,M
Melanie Hinton,20.0,1.6,119.2,M
Gina Hurst,37.0,1.81,97.2,M
Margaret Garcia,53.0,1.7,102.7,M
Jimmy Schmidt,36.0,1.52,67.2,M
Steven Campbell,43.0,1.67,97.2,M
John Thomas,20.0,,53.0,M
Michelle Gregory,36.0,1.84,108.6,M
Kim Collins,37.0,1.97,61.9,M
Robert Bryant,49.0,1.63,98.8,F
Theresa Baker,24.0,1.91,65.7,M
Scott Blevins,69.0,1.53,54.8,M
Catherine Barnes,58.0,1.77,83.7,M
Charles Moon,50.0,1.54,61.9,M
Thomas Beard,57.0,1.97,101.1,M
Jeffrey Martinez,56.0,1.88,66.6,M
Marissa Foster,35.0,1.83,74.0,M
Bonnie Rogers,57.0,1.91,89.7,F
Joseph Coleman,18.0,1.82,69.9,F
Troy Lopez,28.0,1.98,76.5,F
Meagan Short,45.0,1.86,107.1,M
Samantha Davidson,42.0,1.96,62.5,M
Emily Montoya,67.0,1.76,55.8,F
Maria Wolfe,40.0,1.56,73.0,F
Pam Roberts,48.0,1.76,79.7,M
Amber Barry,47.0,1.56,88.0,M
Dale Morales,59.0,1.8,76.1,F
Karen Bryant,52.0,1.74,105.3,F
Kevin Harrell,24.0,1.81,52.8,F
Melissa Cole,33.0,1.51,80.2,F
Joseph Johnson,43.0,1.6,76.8,M
Kimberly Arnold,65.0,1.75,95.3,F
Gina Robbins,69.0,1.98,117.6,F
Jasmine Reyes,66.0,1.69,85.7,M
Ryan Sanchez,19.0,1.71,119.1,F
Donald Harris,18.0,1.86,71.2,F
Kristina Brown,65.0,1.8,52.2,F
Barry Morgan,29.0,1.65,61.6,M
Erika Anderson,22.0,1.71,77.7,M
Frank Santiago,54.0,1.61,72.1,F
Darren Hernandez,49.0,1.98,56.8,M
Justin Williams,26.0,1.57,80.3,M
Shaun Rodriguez,58.0,1.69,73.7,F
Anthony Murphy DDS,52.0,1.51,58.6,M
Patrick Cameron,36.0,1.61,70.7,F
Brandy Lopez,65.0,1.89,112.1,M
David Lawrence,33.0,1.6,71.1,F
Cody Mueller,20.0,1.54,100.0,M
Matthew Collins,37.0,1.74,92.8,M
Jose Holt,41.0,1.5,79.9,F
Phillip Smith,50.0,1.54,66.7,F
Michael Greene,41.0,1.9,75.8,F
Lisa Acosta,69.0,1.89,91.4,F
Sherry Arias,28.0,1.96,74.6,M
Jason Mcdowell,66.0,1.93,65.0,M
Peter Beard,25.0,1.84,58.2,F
William Watson,53.0,1.53,111.6,M
Jennifer Williams,55.0,1.89,80.8,
Richard Kirk,57.0,1.92,93.8,M
Susan Mendoza MD,37.0,1.9,84.3,F
Richard Watson,52.0,1.75,111.1,M
Michael Wood,65.0,1.62,88.3,F
Aaron Valencia,42.0,1.92,83.7,M
Kristin Anderson,52.0,1.86,114.7,M
Paul Cox,42.0,1.99,100.4,F
Adam Brown,46.0,1.58,57.8,M
Brian Pratt,35.0,1.61,62.4,M
Eric Jackson,63.0,1.61,105.1,F
Jennifer Hart DDS,35.0,1.9,108.5,F
Kayla Logan,19.0,1.59,88.2,F
Michelle Montgomery,52.0,1.53,88.8,F
Kevin Juarez,33.0,2.0,94.2,M
Christopher Douglas,58.0,1.51,80.7,F
Elaine Rivas,53.0,1.92,97.6,F
Charles Fernandez,50.0,1.68,57.6,F
Kellie Kim DVM,21.0,1.92,117.3,M
Nancy Merritt,50.0,1.78,102.5,M
Mr. Steven Norris,31.0,1.95,94.2,M
Cynthia Parker,38.0,1.96,72.1,M
Justin Stein,65.0,1.5,61.3,F
Michael Kelly,37.0,1.54,78.7,M
Joseph Acevedo,25.0,1.63,96.3,M
Stephanie Roberts,24.0,1.83,94.4,F
James Simon,20.0,1.94,76.8,F
Lisa Wilson,34.0,1.73,92.9,M
Patrick Miller,50.0,1.8,107.0,F
Jennifer Vega,65.0,1.59,51.8,M
James Sweeney,29.0,1.9,81.5,M
Shannon Wagner,68.0,1.98,103.1,M
Lisa Clements,39.0,1.63,88.2,F
Carol Warren,39.0,1.75,95.6,F
Stephen Hayden,63.0,1.54,86.2,M
Debra Stewart,47.0,1.78,119.4,M
William George,55.0,1.75,53.8,F
Derrick Brown,55.0,1.57,84.4,M
Christopher Hoffman,62.0,1.72,56.4,F
Amy Le,68.0,1.67,61.2,F
Susan Williams,25.0,1.76,76.8,F
Kylie Mitchell,44.0,1.79,60.9,F
Donald Rodriguez,44.0,1.5,117.5,M
Jane Wiley,51.0,1.88,116.3,F
Charles Jones,38.0,1.86,73.5,F
Ashley Crawford,47.0,1.68,94.8,F
Bridget Rivera,50.0,1.53,87.4,M
David Howard,45.0,1.88,107.1,M
Jeffrey Gilmore,64.0,1.98,93.9,M
Carla Villarreal,50.0,1.62,50.0,M
John Wilkerson,22.0,1.66,103.4,M
Anna Gomez,65.0,1.59,102.3,F
Kristin Love,36.0,1.79,85.7,M
Jose Peterson,21.0,1.58,113.2,M
Donna Walters,52.0,1.68,113.6,F
Derrick Parker,66.0,1.85,86.7,M
Gabriela Sims,34.0,1.78,92.6,M
Brian Avila,61.0,1.69,119.8,F
Alexander Mccoy,45.0,1.71,70.9,M
Troy Sweeney,47.0,1.78,72.7,M
Kristina Sandoval,46.0,1.5,62.8,F
Angela Mullen,63.0,1.54,112.7,M
Gwendolyn Anderson,23.0,1.94,102.1,M
Larry Chambers,52.0,1.54,57.4,F
Shannon Martin,58.0,1.85,118.7,M
Chelsea Smith,54.0,1.96,101.2,M
Amber Salazar,41.0,1.64,109.5,M
Jeffrey Perez,46.0,1.69,53.4,M
Samuel Ward,66.0,1.78,85.3,M
Dr. Susan Moore,63.0,1.94,98.9,F
Emily Shelton,48.0,1.97,88.0,M
Rachel Small,52.0,1.87,96.7,F
Teresa Jones,50.0,1.54,107.3,M
Chelsea Simpson,69.0,1.83,76.2,M
Jean Ray,38.0,1.71,109.4,F
Clayton Miller,49.0,1.74,61.4,F
Scott Miller,40.0,1.52,69.0,F
Joshua Cook,50.0,1.6,53.0,M
Erin Miller,20.0,1.9,75.5,M
Amanda Horne,35.0,1.73,76.6,F
Caitlin Santos,42.0,1.65,106.4,M
Dawn Jackson,59.0,1.69,95.7,M
David Anderson,48.0,1.93,80.6,M
Mitchell Davis,20.0,1.87,95.6,M
Jesse Davis,57.0,1.64,53.7,M
Amber Cummings,63.0,1.56,62.6,F
Logan Sanchez,41.0,1.63,93.9,M
Taylor Young,67.0,1.96,94.9,F
Sharon Kim,49.0,1.79,104.2,M
Brenda Green,64.0,1.77,78.2,M
Kyle Blevins DVM,39.0,1.8,100.6,M
Kimberly Hoffman,40.0,1.68,97.9,M
John Mcdaniel,19.0,1.9,117.4,F
Alexa Green,44.0,1.76,65.1,M
Brittany Davis,59.0,1.56,88.6,M
Melissa Moyer,19.0,1.56,92.1,F
Monica King DDS,43.0,1.77,119.9,M
Alexandra Ferguson,34.0,1.97,64.1,M
Geoffrey Weber,57.0,1.65,86.6,M
Shelly Mendoza,50.0,1.93,74.2,F
Lee Hardy Jr.,26.0,1.88,86.8,M
Brandon Russell,60.0,1.62,66.2,F
Melinda Castillo,65.0,1.52,53.3,F
Steven Benson,56.0,1.55,90.1,M
David Newman,46.0,1.86,73.5,M
Amanda Arellano,59.0,1.6,62.7,M
Nicholas Petersen,43.0,1.69,72.7,M
Dr. Benjamin English Jr.,52.0,1.75,53.4,F
Shannon Rivera,67.0,1.86,116.5,M
Kristen Davis,42.0,1.56,90.7,M
Amber Kelly,41.0,1.7,107.0,M
Wanda Carpenter,30.0,1.74,79.6,F
Larry Hester,24.0,1.77,113.2,M
Michael Powell,53.0,1.91,83.8,M
Tara Booth,62.0,1.59,90.2,M
Charles Smith,37.0,1.9,84.4,M
Joanna Phillips,18.0,1.85,101.3,M
Melissa Kramer,25.0,1.78,89.7,M
Ryan Rivas Jr.,63.0,1.85,69.0,M
Amanda Good,33.0,1.71,60.2,F
Kim Martin,31.0,1.57,92.4,F
Kevin Valenzuela,29.0,1.83,84.2,M
Randy Vega,68.0,1.76,56.7,M
Jonathan Jones,40.0,1.82,77.7,M
Christina Harrison,32.0,1.67,86.0,F
Michael Allen,45.0,1.95,107.9,M
Chelsea Brooks,51.0,1.79,55.3,M
Marcus Johnston,19.0,1.54,74.4,F
Justin Miller DDS,49.0,1.72,107.6,F
Amber Collins,40.0,1.88,95.4,M
Frank Neal,39.0,1.9,70.3,M
Mrs. Yolanda Burke,68.0,1.75,109.2,F
Stephanie Little,42.0,1.95,84.5,F
Michael Wood,39.0,1.63,84.9,F
Shane Coleman,39.0,1.71,118.4,F
Ann Bennett DVM,66.0,1.95,116.3,M
Samantha Ramirez,69.0,1.95,75.1,M
Jack Holt,59.0,1.84,59.8,F
Deborah Johnson,23.0,1.93,72.8,M
Tina Hernandez,32.0,1.54,52.1,M
Tony Smith,60.0,1.93,51.5,F
Laura Gomez,54.0,1.66,77.7,F
Clayton Watkins,50.0,1.59,115.9,F
Crystal Montgomery,25.0,1.62,111.0,M
Lawrence Turner Jr.,61.0,1.71,85.8,M
Shawn Choi,61.0,1.63,89.6,M
Emily Smith,22.0,1.66,50.4,F
Angela Munoz,56.0,1.57,65.1,M
Katherine Walker,21.0,1.65,51.7,F
Mary Haley,23.0,1.79,102.8,M
Peter Prince,62.0,1.72,60.2,F
Justin Park,49.0,1.67,110.8,M
Christopher Mason,69.0,1.87,95.0,M
Chris Bryant,47.0,1.95,66.1,F
Rebecca Williams,64.0,1.88,61.0,F
Alex Atkinson,52.0,1.67,93.9,M
Jerry Patton,57.0,1.87,113.1,M
Michael Riley,69.0,1.58,100.3,F
Tonya Jones,33.0,1.57,74.4,M
Nicholas Santiago,30.0,1.67,91.1,M
Andrea Wright DVM,67.0,1.9,71.8,F
Kelly Johnston,59.0,1.62,119.9,F
William Mccarthy,47.0,1.53,102.4,M
Devin Castillo,36.0,1.57,93.0,F
Shannon Moore,34.0,1.93,79.6,M
Michele Evans,36.0,1.82,93.3,M
Peter Hill,45.0,1.63,73.9,F
Chad Smith,43.0,1.78,52.0,M
Ruth Richard,54.0,1.76,77.7,M
Jennifer Martinez,43.0,1.83,115.1,M
Jennifer Mckay,40.0,1.62,93.8,M
Maria Jacobs,26.0,1.93,55.9,M
Russell Pugh,29.0,1.65,111.9,F
Kari Lee,18.0,1.85,68.8,F
Christina Yang,18.0,1.51,67.1,M
Adam Cervantes,64.0,1.69,70.8,M
Joseph Reynolds,51.0,1.68,90.4,F
Shelly Frye,49.0,1.77,88.1,M
Jade Smith,65.0,1.54,84.4,F
Jerry Jennings,42.0,1.9,100.2,F
Megan Gonzalez,57.0,1.61,72.2,F
Randy Marquez,62.0,1.84,104.7,M
Joshua Roberts,18.0,1.9,62.3,M
Karen Hill,33.0,1.78,104.8,M
James Bowman,56.0,1.87,96.5,M
Tanner Carpenter,22.0,1.83,97.8,F
Albert Nunez,39.0,1.68,83.7,M
Larry Mcmillan,46.0,1.9,96.7,M
Jason Richardson,20.0,1.65,55.6,M
Bonnie Snow,29.0,1.79,109.6,F
Debbie Day,43.0,1.87,53.9,M
Michael Johnson,33.0,1.69,60.4,F
Megan Chung,68.0,1.65,90.4,M
Cathy Rivera,54.0,1.73,101.8,M
Melinda Massey,39.0,1.91,55.3,M
Linda Duarte,46.0,1.96,114.5,M
Jonathan Shepard,31.0,1.77,118.2,M
Megan Murphy,45.0,1.83,92.4,F
David Charles,22.0,1.95,83.7,M
Mrs. Cynthia Kelley,64.0,1.55,101.9,F
Rhonda Meyer,66.0,1.62,73.0,M
Donald Turner,47.0,1.85,84.5,M
Leslie Gill,63.0,1.91,114.1,F
Randall Bailey,69.0,1.93,116.9,M
Christina Meyer,22.0,1.71,114.9,F
Mrs. Amy Olson PhD,29.0,1.54,68.4,F
Lisa Kent,33.0,1.72,66.3,M
Christine Cameron,43.0,1.62,70.8,M
Julie Hutchinson,43.0,1.65,80.9,M
Christian Johnson,65.0,1.89,72.0,M
Olivia Nguyen,38.0,1.54,76.2,M
Melissa Harris,56.0,1.91,93.4,F
Natalie Hogan,53.0,1.71,103.4,F
Kevin Richard,50.0,1.8,101.5,M
Gary Williams,47.0,1.54,107.0,M
Sydney Snyder,54.0,1.67,52.3,F
Jamie Rivera,40.0,1.54,53.3,F
Ronald Fuller,27.0,1.98,105.3,F
Craig Lee,22.0,1.9,87.3,M
David Cox,53.0,1.73,90.5,M
Christopher Cannon,51.0,1.61,53.7,F
Ryan Hill,69.0,1.97,67.9,F
Elizabeth Diaz,48.0,1.67,94.7,M
Derek Vega,27.0,1.58,110.1,F
Megan Solis,36.0,1.78,114.2,M
Tyler Arellano,49.0,1.97,85.0,F
Patrick Sullivan,18.0,1.5,88.2,M
Natalie Rodriguez,22.0,1.62,108.3,F
Bob Pham,62.0,1.97,87.6,F
Jessica Roach,21.0,1.59,86.2,F
Anna Montgomery,33.0,1.56,113.4,F
Lisa Pacheco,41.0,1.79,105.3,M
Ronald Jones,33.0,1.93,113.6,F
Collin Walker,19.0,1.74,65.3,M
Pamela Mills,66.0,2.0,86.7,F
David Austin,45.0,1.84,109.0,F
Amanda Nichols,49.0,1.54,57.8,M
Kimberly Phillips,44.0,2.0,105.6,F
Marie Sanchez,37.0,1.7,62.8,F
Jeremy Lopez,41.0,1.64,106.6,M
Gregory Navarro,29.0,1.78,92.8,F
Catherine Harris,67.0,1.65,63.5,F
Timothy Colon,52.0,1.54,83.1,F
James Bates,50.0,1.5,97.7,M
Samantha Weber,50.0,1.72,94.4,F
Victoria Brennan,68.0,1.92,79.9,M
Susan Johnson,60.0,1.79,113.0,M
Johnny Booker,54.0,2.0,86.3,M
Kathy Martinez,29.0,1.64,85.4,M
Andrew Schwartz,20.0,1.64,54.4,F
Jesus Thompson,18.0,1.58,114.5,F
Jacob Rivera,50.0,1.58,62.4,M
Monica Church,57.0,1.64,87.0,F
Jody Myers,27.0,1.9,106.2,F
Daniel Clements,60.0,1.95,65.1,F
Jonathan Long,61.0,1.99,86.9,F
Lisa Garcia,46.0,1.62,66.8,F
Daniel Martinez,30.0,1.94,103.2,F
Samantha Johnson,29.0,1.66,89.5,M
Michael Adkins,48.0,1.56,109.9,F
Daisy Berg,63.0,1.94,112.6,M
Carolyn Bell,19.0,1.82,95.4,F
Erin Quinn,68.0,1.58,100.8,M
Adam Lewis,67.0,1.71,88.4,F
Shelley Brown,52.0,1.64,76.9,M
Joseph Gordon,40.0,1.87,95.4,M
Lindsay Vaughan,34.0,1.73,113.6,F
Jennifer Nichols,43.0,1.99,79.2,F
Monica Arias,25.0,1.53,72.0,M
Angela Ray,46.0,1.68,77.2,F
Nicholas Santiago,43.0,1.74,80.5,F
Renee Henry,27.0,1.75,55.1,F
Daniel Pitts,43.0,1.66,84.9,F
James Miller,51.0,1.86,84.6,M
Michael Reyes,68.0,1.94,91.2,F
Emily Smith,58.0,1.97,75.4,F
Bryan Adams,24.0,1.9,92.9,F
Stacey Smith,21.0,1.93,111.5,F
Jesus White,67.0,1.78,116.9,M
Ellen Collier,62.0,1.91,90.9,F
Maria Moss,28.0,1.65,53.0,F
Samantha Gregory,46.0,1.7,117.8,F
Brian Richardson,53.0,1.66,99.4,M
Robert Burns,42.0,1.73,73.5,F
John Davis,38.0,1.64,60.3,M
Brian Miller,53.0,1.98,60.0,F
Edward Davenport,27.0,1.66,61.7,F
Melissa Morris,54.0,1.55,53.2,M
Traci Horn,26.0,1.76,113.2,M
David Chen,41.0,1.53,87.9,F
Patricia White,52.0,1.56,99.0,F
Brian Booth,66.0,1.61,108.0,F
Zachary Washington,52.0,1.73,105.4,F
John Hernandez,65.0,1.72,111.8,F
Zoe Hester,53.0,1.9,117.7,M
Heather Perez,35.0,1.87,80.7,F
Sarah Bates,66.0,1.71,116.5,M
Terrence Contreras,56.0,1.67,100.6,M
Nancy Crawford,49.0,1.66,54.9,F
Charles Anderson,41.0,1.89,97.7,F
Karen Smith,40.0,1.53,98.1,M
Amanda Hernandez,49.0,1.51,113.4,M
Amber Dawson,54.0,1.9,76.1,F
Christopher May,29.0,1.74,90.9,M
Aaron Pena DDS,66.0,1.57,50.9,M
Megan Anderson,30.0,1.62,73.2,M
John Burgess,40.0,1.97,54.4,F
Lance Smith,42.0,1.93,86.5,F
